2, METOP-2 Channel 2 visible original file:  metop_a_doc_itt/A305 Calibration data/Spectral_Response/A305C002.INP
Number of data points:
1080
Wavenumber (cm-1)   Filter response
    12780.000000       0.923629
    12785.000000       0.921942
    12790.000000       0.920273
    12795.000000       0.918629
    12800.000000       0.917019
    12805.000000       0.915450
    12810.000000       0.913931
    12815.000000       0.912470
    12820.000000       0.911076
    12825.000000       0.909756
    12830.000000       0.908508
    12835.000000       0.907328
    12840.000000       0.906210
    12845.000000       0.905151
    12850.000000       0.904145
    12855.000000       0.903190
    12860.000000       0.902282
    12865.000000       0.901417
    12870.000000       0.900592
    12875.000000       0.899803
    12880.000000       0.899050
    12885.000000       0.898327
    12890.000000       0.897634
    12895.000000       0.896971
    12900.000000       0.896342
    12905.000000       0.895752
    12910.000000       0.895205
    12915.000000       0.894705
    12920.000000       0.894257
    12925.000000       0.893865
    12930.000000       0.893535
    12935.000000       0.893271
    12940.000000       0.893081
    12945.000000       0.892969
    12950.000000       0.892942
    12955.000000       0.893006
    12960.000000       0.893163
    12965.000000       0.893401
    12970.000000       0.893709
    12975.000000       0.894077
    12980.000000       0.894494
    12985.000000       0.894950
    12990.000000       0.895436
    12995.000000       0.895940
    13000.000000       0.896455
    13005.000000       0.896969
    13010.000000       0.897473
    13015.000000       0.897957
    13020.000000       0.898412
    13025.000000       0.898828
    13030.000000       0.899200
    13035.000000       0.899528
    13040.000000       0.899809
    13045.000000       0.900040
    13050.000000       0.900219
    13055.000000       0.900342
    13060.000000       0.900407
    13065.000000       0.900410
    13070.000000       0.900347
    13075.000000       0.900215
    13080.000000       0.900008
    13085.000000       0.899723
    13090.000000       0.899354
    13095.000000       0.898899
    13100.000000       0.898360
    13105.000000       0.897739
    13110.000000       0.897041
    13115.000000       0.896267
    13120.000000       0.895418
    13125.000000       0.894497
    13130.000000       0.893505
    13135.000000       0.892443
    13140.000000       0.891311
    13145.000000       0.890110
    13150.000000       0.888840
    13155.000000       0.887500
    13160.000000       0.886090
    13165.000000       0.884610
    13170.000000       0.883058
    13175.000000       0.881433
    13180.000000       0.879735
    13185.000000       0.877961
    13190.000000       0.876109
    13195.000000       0.874178
    13200.000000       0.872163
    13205.000000       0.870063
    13210.000000       0.867874
    13215.000000       0.865592
    13220.000000       0.863212
    13225.000000       0.860730
    13230.000000       0.858141
    13235.000000       0.855448
    13240.000000       0.852664
    13245.000000       0.849799
    13250.000000       0.846865
    13255.000000       0.843874
    13260.000000       0.840836
    13265.000000       0.837761
    13270.000000       0.834660
    13275.000000       0.831544
    13280.000000       0.828422
    13285.000000       0.825304
    13290.000000       0.822202
    13295.000000       0.819125
    13300.000000       0.816083
    13305.000000       0.813078
    13310.000000       0.810099
    13315.000000       0.807137
    13320.000000       0.804181
    13325.000000       0.801221
    13330.000000       0.798246
    13335.000000       0.795246
    13340.000000       0.792211
    13345.000000       0.789130
    13350.000000       0.785992
    13355.000000       0.782787
    13360.000000       0.779503
    13365.000000       0.776127
    13370.000000       0.772649
    13375.000000       0.769059
    13380.000000       0.765358
    13385.000000       0.761545
    13390.000000       0.757623
    13395.000000       0.753589
    13400.000000       0.749443
    13405.000000       0.745185
    13410.000000       0.740811
    13415.000000       0.736321
    13420.000000       0.731710
    13425.000000       0.726975
    13430.000000       0.722114
    13435.000000       0.717120
    13440.000000       0.711989
    13445.000000       0.706718
    13450.000000       0.701316
    13455.000000       0.695800
    13460.000000       0.690186
    13465.000000       0.684488
    13470.000000       0.678721
    13475.000000       0.672899
    13480.000000       0.667038
    13485.000000       0.661150
    13490.000000       0.655249
    13495.000000       0.649349
    13500.000000       0.643465
    13505.000000       0.637609
    13510.000000       0.631796
    13515.000000       0.626040
    13520.000000       0.620349
    13525.000000       0.614724
    13530.000000       0.609161
    13535.000000       0.603661
    13540.000000       0.598221
    13545.000000       0.592842
    13550.000000       0.587523
    13555.000000       0.582264
    13560.000000       0.577065
    13565.000000       0.571927
    13570.000000       0.566850
    13575.000000       0.561834
    13580.000000       0.556882
    13585.000000       0.551995
    13590.000000       0.547175
    13595.000000       0.542417
    13600.000000       0.537716
    13605.000000       0.533063
    13610.000000       0.528454
    13615.000000       0.523881
    13620.000000       0.519338
    13625.000000       0.514819
    13630.000000       0.510319
    13635.000000       0.505831
    13640.000000       0.501349
    13645.000000       0.496869
    13650.000000       0.492383
    13655.000000       0.487886
    13660.000000       0.483373
    13665.000000       0.478838
    13670.000000       0.474277
    13675.000000       0.469691
    13680.000000       0.465077
    13685.000000       0.460436
    13690.000000       0.455763
    13695.000000       0.451060
    13700.000000       0.446322
    13705.000000       0.441549
    13710.000000       0.436739
    13715.000000       0.431889
    13720.000000       0.426997
    13725.000000       0.422059
    13730.000000       0.417074
    13735.000000       0.412038
    13740.000000       0.406950
    13745.000000       0.401814
    13750.000000       0.396641
    13755.000000       0.391441
    13760.000000       0.386225
    13765.000000       0.381002
    13770.000000       0.375782
    13775.000000       0.370575
